Year,No_Policy,Default_Pricing
2017,1.00,0.89
2018,0.99,0.86
2019,0.99,0.84
2020,0.98,0.81
2021,0.98,0.78
2022,0.97,0.76
2023,0.97,0.74
2024,0.96,0.72
2025,0.96,0.70
2026,0.96,0.68
2027,0.96,0.66
2028,0.96,0.63
2029,0.96,0.61
2030,0.96,0.58
2031,0.97,0.56
2032,0.97,0.54
2033,0.96,0.52
2034,0.96,0.51
2035,0.96,0.49
2036,0.96,0.47
2037,0.96,0.45
2038,0.97,0.43
2039,0.97,0.41
2040,0.97,0.39
2041,0.97,0.37
2042,0.97,0.35
2043,0.97,0.32
2044,0.97,0.30
2045,0.97,0.27
2046,0.97,0.25
2047,0.98,0.23