N,Elec,Dist,LPG,NtGas
1,0.95,1.10,1.02,0.99
2,1.88,2.25,2.03,1.96
3,2.78,3.40,3.01,2.89
4,3.66,4.54,3.96,3.80
5,4.55,5.67,4.90,4.68
6,5.43,6.78,5.82,5.55
7,6.30,7.88,6.73,6.39
8,7.15,8.96,7.61,7.23
9,7.98,10.03,8.46,8.06
10,8.80,11.08,9.29,8.94
11,9.60,12.10,10.11,9.83
12,10.37,13.10,10.90,10.69
13,11.12,14.09,11.67,11.53
14,11.86,15.07,12.43,12.36
15,12.58,16.03,13.19,13.16
16,13.28,16.97,13.92,13.95
17,13.97,17.89,14.64,14.72
18,14.64,18.79,15.35,15.47
19,15.29,19.68,16.04,16.20
20,15.93,20.55,16.72,16.92
21,16.55,21.39,17.38,17.62
22,17.16,22.23,18.04,18.30
23,17.76,23.04,18.68,18.96
24,18.34,23.84,19.31,19.61
25,18.91,24.61,19.93,20.24
26,19.46,25.36,20.54,20.86
27,20.01,26.09,21.13,21.46
28,20.54,26.81,21.70,22.06
29,21.07,27.50,22.27,22.64
30,21.59,28.19,22.82,23.21